invoice_number,voucher_number,voucher_type,invoice_date,due_date,financial_year,payment_status,payment_mode,credit_period,debit_amount,credit_amount,outstanding_balance,gst_number,gst_type,state,tax_amount,discount_,currency,hospital_name,hospital_type,doctor_name,doctor_specialty,surgeon_id,hospital_gst,city,territory,sales_executive,distributor_name,branch,product_name,product_category,implant_type,batch_number,lot_number,udi_code,serial_number,sterilization_status,expiry_date,manufacturing_date,quantity,unit,rate,mrp,surgery_type,implant_material,brand,warehouse,dispatch_date,delivery_status,courier_partner,stock_availability,reorder_level,inventory_balance,return_status,narration,export_note,primary_key
INV/1004,VCH1004,Payment,2024-12-23,2025-02-06,2024-25,Paid,UPI,60,327600.0,327600.0,245700.0,24BBBCD2345G1Z2,IGST,Karnataka,35100.0,0.03,Rs.,trauma one pvt ltd,Trauma Center,Dr Rajesh Kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Nagpur,West,R. Mehta,Trauma Supplies LLP,W1,Bone Drill Set,Surgical Instrument,Instrument,B1470-B,L52600,UDI-800646-B,SN452737,STERILE,2027/06/11,2024/08/25,12,pcs,25000.00,"30,000.00",Surgical Prep,Steel,SpinePro,Ahmedabad WH,2024/12/26,In Transit,Blue Dart,Reserved,20,5,nan,Exported from Tally	with master alias,Unicode NBSP present,c1ed1d75f482c3c8988cc56031ff34a6
INV/1004,VCH1004,Sales Return,2024-12-23,2025-01-22,2024-25,Paid,Cash,15,44887.5,44887.5,0.0,27AAACT1234F1Z5,IGST,Maharashtra,2137.5,5,INR,ORTHO CARE CENTER,Orthopedic Clinic,Dr Meera Iyer,Joint Replacement Surgeon,SURG-002,27ABCDE1234F1Z1,Pune,West-1,S. Joshi,Trauma Supplies,W1,Locking Plate,Orthopedic Implant,Plate,B5786-C,L26551,UDI-387636-A,SN157174,Sterile,11 Jun 2027,24 Oct 2024,10,BOX,4500.00,"₹5,175.00",Open Reduction,Titanium,OSM,Pune WH,2024/12/24,Delivered,DTDC,Reserved,5,15,No,Credit note adjustment for return batch,Mixed date style,df1e41ed88aeb89e35e47dca2d90b8f4
inv/1004,VCH1004,Purchase,2024-12-23,2025-01-22,2024-25,Adjusted,RTGS,60,14175.0,14175.0,14175.0,24BBBCD2345G1Z2,CGST+SGST,Maharashtra,675.0,0 %,Rs.,apex hospital ltd.,Multi-Specialty Hospital,Dr Meera Iyer,Joint Replacement Surgeon,SURG-002,24FGHIJ5678K1Z2,Mumbai,West,R. Mehta,Ortho Distributors,WEST 1,Bone Drill Set,Surgical Instrument,Instrument,B4241-B,L25043,UDI-820775-A,SN377405,Sterile,46014,24-10-2024,2 PCS,Box,"6,750.00","₹8,100.00",Surgical Prep,Steel,OrthoFlex,Nagpur WH,2024/12/23,Partially Delivered,Delhivery,In Stock,10,8,No,Dispatch against PO; follow-up due on next cycle,Trailing space preserved,10115ddb7004fffb1c7760347e243de3
inv/1005,VCH1005,Sales,2025-09-14,2025-11-13,2025-26,Paid,Bank Transfer,15,140000.0,140000.0,70000.0,27AAACT1234F1Z5,CGST+SGST,Maharashtra,15000.0,0,Rs.,ORTHO CARE CENTER,Orthopedic Clinic,Dr. Meera Iyer,Joint Replacement Surgeon,SURG-002,29LMNOP9012Q1Z3,Pune,Central,Rahul Mehta,ORTHO DISTRIBUTORS,South-1,External Fixator,Trauma Fixation,Fixator,B7622-C,L10150,UDI-364659-B,SN221552,Sterile,2026/09/14,16-06-2025,5,Box,"₹25,000.00","₹28,750.00",Trauma Stabilization,Aluminium,SpinePro,Mumbai WH-2,45916,In Transit,Delhivery,In Stock,25,30,Yes,Dispatch against PO; follow-up due on next cycle,Text numeric field,f2049079750f401d1ce9c61632e98c8d
INV/1005,VCH1005,Sales Return,2025-09-14,2025-10-14,2025-26,Paid,NEFT,45,11655.0,11655.0,0.0,27AAACT1234F1Z5,CGST/SGST,Maharashtra,555.0,7.5%,INR,Spine & Joint Institute,Orthopedic Clinic,dr p nair,Spine Surgeon,SURG-004,24FGHIJ5678K1Z2,Ahmedabad,Central,Amit Verma,ORTHO DISTRIBUTORS,W1,Cancellous Screw,Orthopedic Implant,Screw,B6446-C,L81228,UDI-664742-B,SN461888,Sterile,02 Mar 2028,16-06-2025,5,BOX,"₹2,400.00",2760,Fracture Fixation,Stainless Steel,SpinePro,Mumbai WH-2,14-09-2025,In Transit,Professional Couriers,Low Stock,20,30,Pending,Freight included; round-off applied	tabbed-remark,Mixed date style,9633ded581a331f37a0747865dd190be
INV/1005,VCH1005,Payment,2025-09-14,2025-09-29,2025-26,Pending,Bank Transfer,45,94500.0,94500.0,0.0,24BBBCD2345G1Z2,CGST/SGST,Karnataka,4500.0,0.10,Rs.,City Medisurg Pvt. Ltd.,Multi-Specialty Hospital,dr. nisha patel,Orthopedic Surgeon,SURG-005,29LMNOP9012Q1Z3,Surat,Central,Rahul Mehta,Trauma Supplies,Central-1,Knee Prosthesis,Joint Replacement,Prosthesis,B1919-B,L56984,UDI-148225-B,SN934816,Non-Sterile,08-03-2027,16 Jun 2025,4,Pieces,"25,000.00",28750.00,Arthroplasty,Cobalt Chrome,SpinePro,Mumbai WH,15-09-2025,Delivered,TCS,Reorder,25,30,No,Exported from Tally	with master alias,Unicode NBSP present,2a12edc4d6b72be646b75420a310fc7d
inv/1005,VCH1005,Sales,2025-09-14,2025-10-29,2025-26,Pending,Cheque,45,60480.0,60480.0,45360.0,27AAACT1234F1Z5,CGST+SGST,Karnataka,6480.0,10%,Rs.,spine & joint institute,Orthopedic Clinic,Dr A. Sharma,Orthopedic Surgeon,SURG-001,24FGHIJ5678K1Z2,Ahmedabad,WEST 1,Sneha Joshi,Ortho Distributors,CENTRAL 1,Cancellous Screw,Orthopedic Implant,Screw,B3240-C,L22735,UDI-751051-B,SN810687,Sterile,04-09-2027,2025/05/17,5 PCS,PCS,12000.00,14400.00,Fracture Fixation,Stainless Steel,TraumaFix,Pune WH,45914,Partially Delivered,Professional Couriers,Low Stock,25,0,No,Part payment received; balance pending,Unicode NBSP present,73b3378e9b32d23b8832917d23fc45e5
INV/1006,VCH1006,Sales,2024-12-27,2025-02-10,2024-25,Paid,Cheque,60,68040.0,68040.0,0.0,24BBBCD2345G1Z2,IGST,Karnataka,7290.0,10%,₹,spine & joint institute,Orthopedic Clinic,Dr Rajesh Kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Ahmedabad,West,Amit Verma,Ortho Distributors Pvt Ltd,Central-1,Bone Drill Set,Surgical Instrument,Instrument,B5986-B,L25220,UDI-246566-A,SN139019,Sterile,2027/06/15,28 Oct 2024,10,PCS,"₹6,750.00",7425.00,Surgical Prep,Steel,OrthoFlex,Ahmedabad WH,27 Dec 2024,Partially Delivered,Delhivery,In Stock,5,30,No,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Text numeric field,d21aaf6781bfaae3fa710569bd8704c9
INV/1006,VCH1006,Receipt,2024-12-27,2025-01-26,2024-25,Pending,UPI,60,63720.0,63720.0,47790.0,27AAACT1234F1Z5,IGST,Maharashtra,9720.0,0,INR,trauma one,Trauma Center,Dr Meera Iyer,Joint Replacement Surgeon,SURG-002,24FGHIJ5678K1Z2,Nagpur,South-1,Rahul Mehta,Ortho Distributors Pvt Ltd,W1,Cancellous Screw,Orthopedic Implant,Screw,B6304-A,L32838,UDI-475644-A,SN717457,Sterile,46193,45563,12 PCS,Pieces,"₹4,500.00",5175,Fracture Fixation,Stainless Steel,OSM,Pune WH,28 Dec 2024,Delivered,Delhivery,Low Stock,25,15,No,"Part payment received; balance pending, ref=""INV/1006""",Trailing space preserved,aa378caff2ec696995e4e752061fe3a7
INV/1007,VCH1007,Purchase,2025-12-11,2026-02-09,2025-26,Pending,UPI,15,46620.0,46620.0,23310.0,24BBBCD2345G1Z2,CGST+SGST,Maharashtra,4995.0,7.5%,Rs.,Apex Hospital Ltd.,Multi-Specialty Hospital,Dr A. Sharma,Orthopedic Surgeon,SURG-001,24FGHIJ5678K1Z2,Mumbai,Central,Rahul Mehta,Trauma Supplies,W1,Bone Drill Set,Surgical Instrument,Instrument,B8075-A,L58843,UDI-972176-A,SN197758,Sterile,29 May 2028,45882,10,pcs,"₹4,500.00","₹4,950.00",Surgical Prep,Steel,JointMax,Nagpur WH,2025/12/13,In Transit,Blue Dart,In Stock,20,0,No,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Alias master matched,b1e42e445cb7fe4f8e9e85f0679a1e21
INV/1007,VCH1007,Purchase,2025-12-11,2025-12-26,2025-26,Adjusted,UPI,30,194250.0,194250.0,194250.0,24BBBCD2345G1Z2,IGST,Maharashtra,9250.0,0,INR,apex hospital,Multi-Specialty Hospital,Dr. Meera Iyer,Joint Replacement Surgeon,SURG-002,24FGHIJ5678K1Z2,Thane,WEST 1,A. Verma,ORTHO DISTRIBUTORS,Central-1,External Fixator,Trauma Fixation,Fixator,B1815-C,L20693,UDI-263137-A,SN891083,Non-Sterile,29 May 2028,12 Oct 2025,10,Pieces,"18,500.00",22200.00,Trauma Stabilization,Aluminium,SpinePro,Nagpur WH,11 Dec 2025,Hold,Professional Couriers,In Stock,20,0,No,"Revised invoice after doctor change,
please verify branch mapping",Text numeric field,3e2f4043e473fe71614398922dd02ad6
INV/1007,VCH1007,Sales,2025-12-11,2026-02-09,2025-26,Adjusted,Cash,45,28000.0,28000.0,14000.0,24BBBCD2345G1Z2,GST,Maharashtra,3000.0,0%,Rs.,TRAUMA ONE PVT LTD,Trauma Center,DR. ANIL SHARMA,Orthopedic Surgeon,SURG-001,27ABCDE1234F1Z1,Nagpur,Central 1,A. Verma,Trauma Supplies,S-1,Knee Prosthesis,Joint Replacement,Prosthesis,B8138-C,L62487,UDI-985506-A,SN355135,Sterile,01-12-2027,2025/08/13,1,Box,"25,000.00",27500,Arthroplasty,Cobalt Chrome,OSM,Ahmedabad WH,2025/12/14,Partially Delivered,Delhivery,In Stock,10,8,Pending,Approved by store; udi matched,Trailing space preserved,a59d04ea65e196c04710a9db4c9ed08b
inv/1007,VCH1007,Purchase,2025-12-11,2026-01-25,2025-26,Pending,Cash,45,75667.5,75667.5,56750.62,29CCCDD3456H1Z3,GST,Karnataka,11542.5,5 %,₹,Apex Hospital Ltd.,Multi-Specialty Hospital,Dr P Nair,Spine Surgeon,SURG-004,27ABCDE1234F1Z1,Mumbai,WEST 1,Rahul Mehta,Ortho Distributors Pvt Ltd,West-1,Knee Prosthesis,Joint Replacement,Prosthesis,B1672-B,L84928,UDI-503159-B,SN708519,Sterile,29 May 2028,45912,10,pcs,6750.00,"8,100.00",Arthroplasty,Cobalt Chrome,TraumaFix,Pune Main,11-12-2025,Hold,Delhivery,Reserved,5,15,nan,Dispatch against PO; follow-up due on next cycle,Unicode NBSP present,c8f1dc939ad8895d7976eb37c2c81acf
INV/1008,VCH1008,Sales,2026-02-09,2026-02-24,2025-26,Pending,RTGS,60,212842.5,212842.5,159631.88,29CCCDD3456H1Z3,CGST+SGST,Gujarat,32467.5,2.5%,INR,Trauma One,Trauma Center,dr. r. kulkarni,Trauma Surgeon,SURG-003,27ABCDE1234F1Z1,Nagpur,WEST 1,A. Verma,Trauma Supplies,West-1,Bone Drill Set,Surgical Instrument,Instrument,B4711-A,L30308,UDI-903373-B,SN301332,STERILE,30-01-2028,2025/10/12,10,PCS,"₹18,500.00",21275.00,Surgical Prep,Steel,TraumaFix,Nagpur WH,46064,Delivered,DTDC,Low Stock,10,30,Yes,Credit note adjustment for return batch,Text numeric field,924cd73efaa477c0a92b1b5f097673f2
INV/1008,VCH1008,Sales,2026-02-09,2026-03-26,2025-26,Partially Paid,UPI,60,95580.0,95580.0,95580.0,24BBBCD2345G1Z2,CGST+SGST,Gujarat,14580.0,0.00,INR,Ortho Care Centre,Orthopedic Clinic,Dr Nisha Patel,Orthopedic Surgeon,SURG-005,27ABCDE1234F1Z1,Pune,West-1,Amit Verma,Trauma Supplies LLP,CENTRAL 1,Cancellous Screw,Orthopedic Implant,Screw,B7495-C,L59015,UDI-127965-B,SN155843,Sterile,46782,10-01-2026,12 PCS,pcs,6750,"8,100.00",Fracture Fixation,Stainless Steel,SpinePro,Ahmedabad WH,2026/02/09,Delivered,Delhivery,In Stock,5,30,Yes,"Freight included; round-off applied, ref=""INV/1008""",Alias master matched,e03997ffde4604fc6766e890eaa0bb01
INV/1008,VCH1008,Sales,2026-02-09,2026-02-24,2025-26,Pending,Cheque,30,4914.0,4914.0,2457.0,27AAACT1234F1Z5,GST,Maharashtra,526.5,2.5%,INR,Spine & Joint Institute,Orthopedic Clinic,dr nisha patel,Orthopedic Surgeon,SURG-005,27ABCDE1234F1Z1,Ahmedabad,South-1,A. Verma,ORTHO DISTRIBUTORS,S-1,External Fixator,Trauma Fixation,Fixator,B7338-B,L43246,UDI-592972-A,SN766549,Non-Sterile,46962,11-12-2025,1,PCS,4500.00,"₹5,400.00",Trauma Stabilization,Aluminium,TraumaFix,Mumbai WH-2,2026/02/11,Hold,Professional Couriers,In Stock,20,5,Pending,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Trailing space preserved,86147e25a4861c169a28ca008f3bce97
INV/1009,VCH1009,Receipt,2024-05-19,2024-06-18,2024-25,Paid,NEFT,30,95830.0,95830.0,95830.0,29CCCDD3456H1Z3,CGST/SGST,Karnataka,10267.5,7.5,INR,ortho care center,Orthopedic Clinic,Dr A. Sharma,Orthopedic Surgeon,SURG-001,24FGHIJ5678K1Z2,Pune,South,Sneha Joshi,Trauma Supplies LLP,West-1,Spinal Rod,Spinal Implant,Rod,B6372-C,L48750,UDI-436814-A,SN183958,Non-Sterile,2026/05/09,20 Jan 2024,5 PCS,Pieces,18500,"21,275.00",Spine Stabilization,Titanium Alloy,SpinePro,Ahmedabad WH,22-05-2024,Delivered,Professional Couriers,Reserved,20,8,Yes,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Mixed date style,2e4e9ea087fce6099b6bc7b93009ed6f
INV/1009,VCH1009,Payment,2024-05-19,2024-07-18,2024-25,Adjusted,cash,30,1365.0,1365.0,1023.75,24BBBCD2345G1Z2,GST,Karnataka,146.25,0.03,Rs.,Trauma One,Trauma Center,dr. r. kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Nagpur,South,Sneha Joshi,Trauma Supplies,WEST 1,Cancellous Screw,Orthopedic Implant,Screw,B6236-C,L55537,UDI-848022-B,SN192055,Non-Sterile,09-05-2026,19-02-2024,1,PCS,"1,250.00",1437.50,Fracture Fixation,Stainless Steel,JointMax,Mumbai WH,2024/05/19,Delivered,Blue Dart,In Stock,10,30,No,"Dispatch against PO; follow-up due on next cycle, ref=""INV/1009""	tabbed-remark",Text numeric field,e8ab39a0462b57f01fca16cb17f37a2f
INV/1009,VCH1009,Payment,2024-05-19,2024-07-03,2024-25,Partially Paid,UPI,60,17700.0,17700.0,0.0,27AAACT1234F1Z5,GST,Karnataka,2700.0,0 %,Rs.,APEX HOSPITAL,Multi-Specialty Hospital,dr. p. nair,Spine Surgeon,SURG-004,27ABCDE1234F1Z1,Thane,West,Rahul Mehta,Trauma Supplies,W1,External Fixator,Trauma Fixation,Fixator,B9740-A,L75873,UDI-755383-B,SN744274,Sterile,46151,2024/03/20,12,pcs,1250,1500.00,Trauma Stabilization,Aluminium,JointMax,Pune WH,20-05-2024,Hold,Delhivery,Reorder,25,3,No,Freight included; round-off applied,Mixed date style,ccdbaf54ad0422203ff12bd10aad7c6a
INV/1010,VCH1010,Receipt,2025-04-15,2025-04-30,2025-26,Adjusted,cash,45,6555.94,6555.94,3277.97,24BBBCD2345G1Z2,IGST,Karnataka,312.19,7.5 %,INR,trauma one,Trauma Center,dr meera iyer,Joint Replacement Surgeon,SURG-002,29LMNOP9012Q1Z3,Nagpur,WEST 1,R. Mehta,Trauma Supplies LLP,S-1,Knee Prosthesis,Joint Replacement,Prosthesis,B6055-B,L13037,UDI-639728-B,SN622987,Non-Sterile,2027/10/02,15-01-2025,1 PCS,PCS,6750,"7,762.50",Arthroplasty,Cobalt Chrome,SpinePro,Pune Main,15-04-2025,Delivered,DTDC,Low Stock,5,8,Pending,"Revised invoice after doctor change,
please verify branch mapping, ref=""INV/1010""",Mixed date style,492c6f0e2966fee020b58fa25293af74
INV/1010,VCH1010,Sales,2025-04-15,2025-06-14,2025-26,Paid,NEFT,60,11044.8,11044.8,11044.8,27AAACT1234F1Z5,CGST+SGST,Gujarat,1684.8,2.5,INR,TRAUMA ONE,Trauma Center,dr rajesh kulkarni,Trauma Surgeon,SURG-003,27ABCDE1234F1Z1,Nagpur,South,S. Joshi,Ortho Distributors,WEST 1,External Fixator,Trauma Fixation,Fixator,B5902-C,L54089,UDI-434002-A,SN512042,Sterile,46127,16 Mar 2025,4,Box,2400.00,"2,880.00",Trauma Stabilization,Aluminium,JointMax,Mumbai WH-2,2025/04/15,Delivered,Professional Couriers,Reorder,10,15,nan,"Credit note adjustment for return batch, ref=""INV/1010""",Unicode NBSP present,c97f7059f85316f1b9fcf16a72d4d503
INV/1011,VCH1011,Sales,2024-10-30,2024-12-14,2024-25,Partially Paid,UPI,45,65520.0,65520.0,0.0,24BBBCD2345G1Z2,GST,Maharashtra,7020.0,2.5 %,INR,CITY MEDISURG PVT. LTD.,Multi-Specialty Hospital,DR P NAIR,Spine Surgeon,SURG-004,29LMNOP9012Q1Z3,Surat,WEST 1,Amit Verma,ORTHO DISTRIBUTORS,CENTRAL 1,External Fixator,Trauma Fixation,Fixator,B5480-B,L25974,UDI-603110-B,SN687713,Non-Sterile,18-04-2027,2024/08/01,5 PCS,Box,12000,"13,200.00",Trauma Stabilization,Aluminium,BoneLock,Nagpur WH,01 Nov 2024,Delivered,Delhivery,In Stock,25,20,Yes,"Invoice for orthopedic implants, includes ""plate, screw"" bundle, ref=""INV/1011""",Unicode NBSP present,94e2e187432e4411a99c935154f212cb
INV/1011,VCH1011,Sales,2024-10-30,2024-11-14,2024-25,Adjusted,NEFT,30,14364.0,14364.0,7182.0,29CCCDD3456H1Z3,IGST,Maharashtra,1539.0,5 %,INR,SPINE & JOINT INSTITUTE,Orthopedic Clinic,dr p nair,Spine Surgeon,SURG-004,29LMNOP9012Q1Z3,Ahmedabad,Central 1,Rahul Mehta,Trauma Supplies,South-1,Bone Drill Set,Surgical Instrument,Instrument,B2758-B,L47298,UDI-412886-C,SN732063,Non-Sterile,2025/10/30,31 Aug 2024,2 PCS,BOX,6750,8100.00,Surgical Prep,Steel,BoneLock,Ahmedabad WH,30-10-2024,Partially Delivered,Blue Dart,In Stock,25,30,No,Dispatch against PO; follow-up due on next cycle,Name variation retained,38d2604feae18c83842a8726c6160479
